c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
ORIN BART,Orinda,Orinda BART,11,Orinda BART,0,Orinda BART,Orinda BART,37.8779812,-122.1841919,Orinda BART,21,OBBA,ORINBART,,ORIN BART,Orinda,Orinda BART,,,Orinda BART,,,,,0
KSHP SALE,San Leandro,Kaiser Permanente San Leandro Medical Center,44,Kaiser Permanente San Leandro Medical Center,2,Kaiser Permanente San Leandro Medical Center,Kaiser Permanente San Leandro Medical Center,37.7054399,-122.1663772,Kaiser San Leandro Medical Center,15,KHSL,KSHPSALE,,KSHP SALE,San Leandro,Kaiser San Leandro Medical Center,,,Kaiser Permanente San Leandro Medical Center,,,,,0
PLHL BART,Pleasant Hill,Pleasant Hill BART,18,Pleasant Hill BART,2,Pleasant Hill BART,Pleasant Hill BART,37.9287684,-122.0553059,Pleasant Hill BART,99,PHBA,PLHLBART,,PLHL BART,Contra Costa County,Pleasant Hill BART,,Pleasant Hill,Pleasant Hill BART,,,The station is actually in unincorporated Contra Costa but I don't know what that area is called,,
WACR BART,Walnut Creek,Walnut Creek BART,17,Walnut Creek BART,0,Walnut Creek BART,Walnut Creek BART,37.9052724,-122.0675031,Walnut Creek BART,99,WCBA,WACRBART,,WACR BART,Contra Costa County,Walnut Creek BART,,Walnut Creek,Walnut Creek BART,,,,,
BEGSO,San Francisco,Beginning of supervisors' orders,32,Beginning of supervisors' orders,2,Beginning of supervisors' orders,Beginning of supervisors' orders,37.7903520,-122.3955800,Beginning Of Supv. Orders,14,BEGSO,BEG.S.O.,ETSF,BEG. S.O.,San Francisco,Beginning of Supv. Orders,BEGSO,,Beginning of supervisors' orders,,,,,
ENDSO,San Francisco,End of Supv. Orders,19,End of Supv. Orders,2,End of Supv. Orders,End of Supv. Orders,37.7897500,-122.3975900,End Of Supv. Orders,14,ENDSO,END S.O.,ETSF,END S.O.,San Francisco,End of Supv. Orders,ENDSO,,,,,,,
ETSF TERM,San Francisco,Transbay Terminal,17,San Francisco,0,Transbay Terminal,San Francisco,37.7897557,-122.3976031,Transbay Terminal,14,ET,ETSFTERM,,ETSF TERM,San Francisco,Transbay Terminal,,,Transbay Terminal,San Francisco,,,,
FETE-A,Alameda,Alameda Main St. Ferry Terminal,31,Alameda Main St. Ferry Terminal,0,Alameda Main St. Ferry Terminal,Alameda Main St. Ferry Terminal,37.7908667,-122.2943548,Alameda Main St. Ferry Terminal,01,FETE-A,FERRTERM,FETE,FERR TERM,Alameda,Alameda Main St. Ferry Terminal,FETE-A,,,,,,,
FETE-D,Alameda,Alameda Main St. Ferry Terminal,31,Alameda Main St. Ferry Terminal,0,Alameda Main St. Ferry Terminal,Alameda Main St. Ferry Terminal,37.7908667,-122.2943548,Alameda Main St. Ferry Terminal,01,FETE-D,FERRTERM,FETE,FERR TERM,Alameda,Alameda Main St. Ferry Terminal,FETE-D,,,,,,,
HBFT-A,Alameda,Harbor Bay Ferry Terminal,25,Harbor Bay Ferry Terminal,0,Harbor Bay Ferry Terminal,Harbor Bay Ferry Terminal,37.7369514,-122.2553416,Harbor Bay Ferry Terminal,01,HBFT-A,HARBFERR,HBFT,HARB FERR,Alameda,Harbor Bay Ferry Terminal,HBFT-A,,,,,,,
HBFT-D,Alameda,Harbor Bay Ferry Terminal,25,Harbor Bay Ferry Terminal,0,Harbor Bay Ferry Terminal,Harbor Bay Ferry Terminal,37.7369514,-122.2553416,Harbor Bay Ferry Terminal,01,HBFT-D,HARBFERR,HBFT,HARB FERR,Alameda,Harbor Bay Ferry Terminal,HBFT-D,,,,,,,
ROBE PACK,Alameda,Robert Davey Jr. Dr. & Packet Landing Dr.,41,Robert Davey Jr. Dr. & Packet Landing Dr.,0,Robert Davey Jr. Dr. & Packet Landing Dr.,Robert Davey Jr. Dr. & Packet Landing Dr.,37.7439838,-122.2393745,Robert Davey Jr. Dr. & Packet Landing,01,ROPA,ROBEPACK,,ROBE PACK,Alameda,Robert Davey Jr. Dr. & Packet Landing,,,Robert Davey Jr. Dr. & Packet Landing Dr.,,,,,
SANT WEBS,Alameda,Santa Clara Ave. & Webster St.,30,Santa Clara Ave. & Webster St.,0,Santa Clara Ave. & Webster St.,Santa Clara Ave. & Webster St.,37.7733303,-122.2768017,Santa Clara Ave. & Webster St.,01,SCWE,SANTWEBS,,SANT WEBS,Alameda,Santa Clara Ave. & Webster St.,,,Santa Clara Ave. & Webster St.,,,,,
FRKL EMBA,Oakland,Franklin St. & Embarcadero West,31,Franklin St. & Embarcadero West,0,Franklin St. & Embarcadero West,Franklin St. & Embarcadero West,37.7950600,-122.2755563,Franklin St. & Embarcadero West,10,FREM,FRKLEMBA,,FRKL EMBA,Oakland,Franklin St. & Embarcadero West,,,Franklin St. & Embarcadero West,,,,,
PARK SANT,Alameda,Park Blvd. & Santa Clara Ave.,29,Park Blvd. & Santa Clara Ave.,0,Park Blvd. & Santa Clara Ave.,Park Blvd. & Santa Clara Ave.,37.7653361,-122.2418951,Park Blvd. & Santa Clara Ave.,01,PASC,PARKSANT,,PARK SANT,Alameda,Park Blvd. & Santa Clara Ave.,,,Park Blvd. & Santa Clara Ave.,,,,,
BROA BLAN,Alameda,Broadway & Blanding Ave.,24,Broadway & Blanding Ave.,0,Broadway & Blanding Ave.,Broadway & Blanding Ave.,37.7686374,-122.2339078,Broadway & Blanding Ave.,01,BDBL1,BROABLAN,BDBL,BROA BLAN,Alameda,Broadway & Blanding Ave.,,,,,,,,
WOBA-A,Oakland,West Oakland BART,17,West Oakland BART,0,West Oakland BART,West Oakland BART,37.8047954,-122.2947420,West Oakland BART,10,WOBA-A,WOAKBART,WOBA,WOAK BART,Oakland,West Oakland BART,WOBA-A,,,,,,,
WOBA-D,Oakland,West Oakland BART,17,West Oakland BART,0,West Oakland BART,West Oakland BART,37.8047954,-122.2947420,West Oakland BART,10,WOBA-D,WOAKBART,WOBA,WOAK BART,Oakland,West Oakland BART,WOBA-D,,,,,,,
5TH MARK,Oakland,5th St. & Market St.,20,5th St. & Market St.,2,5th St. & Market St.,5th St. & Market St.,37.8011607,-122.2829743,5th St. & Market St.,10,5.MK,5TH MARK,,5TH MARK,Oakland,5th St. & Market St.,,,,,,,,
PERA GRAM,Oakland,Peralta St. & West Grand Ave.,29,Peralta St. & West Grand Ave.,0,Peralta St. & West Grand Ave.,Peralta St. & West Grand Ave.,37.8168909,-122.2896065,Peralta St. & West Grand Ave.,10,PEWG,PERAGRAM,,PERA GRAM,Oakland,Peralta St. & West Grand Ave.,,,Peralta St. & West Grand Ave.,,,,,
D2,Emeryville,AC Transit Emeryville Division,30,AC Transit Emeryville Division,2,AC Transit Emeryville Division,AC Transit Emeryville Division,37.8349149,-122.2820235,AC Transit Emeryville Division,06,D2,D2,,D2,Emeryville,AC Transit Emeryville Division,,,AC Transit Emeryville Division,,,,,
EMRY AMTK,Emeryville,Emeryville Amtrak,17,Emeryville Amtrak,0,Emeryville Amtrak,Emeryville Amtrak,37.8404209,-122.2913655,Emeryville Amtrak,06,EMAM,EMRYAMTK,,EMRY AMTK,Emeryville,Emeryville Amtrak,,,Emeryville Amtrak,,,,,
EMAT-D,Emeryville,Emeryville Amtrak,17,Emeryville Amtrak,0,Emeryville Amtrak,Emeryville Amtrak,37.8391726,-122.2908989,Emeryville Amtrak,06,EMAT-D,EMERAMTR,EMAT,EMER AMTR,Emeryville,Emeryville Amtrak,EMAT-D,,,,,,,
STAN S.P.,Oakland,Stanford Ave. & San Pablo Ave.,30,Stanford Ave. & San Pablo Ave.,0,Stanford Ave. & San Pablo Ave.,Stanford Ave. & San Pablo Ave.,37.8410250,-122.2830361,Stanford Ave. & San Pablo Ave.,10,STSP,STANS.P.,,STAN S.P.,Oakland,Stanford Ave. & San Pablo Ave.,,,,,,,,
SANP ASHB,Berkeley,San Pablo Ave & Ashby Ave.,26,San Pablo Ave & Ashby Ave.,0,San Pablo Ave & Ashby Ave.,San Pablo Ave & Ashby Ave.,37.8521602,-122.2866847,San Pablo Ave & Ashby Ave.,03,SPAS,SANPASHB,,SANP ASHB,Berkeley,San Pablo Ave & Ashby Ave.,,,,,,,,
D3,Richmond,AC Transit Richmond Division,28,AC Transit Richmond Division,2,AC Transit Richmond Division,AC Transit Richmond Division,37.9354431,-122.3512258,AC Transit Richmond Division,13,D3,D3,,D3,Richmond,AC Transit Richmond Division,,,AC Transit Richmond Division,,,,,
POTR CARL,Richmond,Potrero Ave. & Carlson Blvd.,28,Potrero Ave. & Carlson Blvd.,0,Potrero Ave. & Carlson Blvd.,Potrero Ave. & Carlson Blvd.,37.9214345,-122.3323260,Potrero Ave. & Carlson Blvd.,13,POCA,POTRCARL,,POTR CARL,Richmond,Potrero Ave. & Carlson Blvd.,,,,,,,,
MACD 37TH,Richmond,Macdonald Ave. & 37th St,24,Macdonald Ave. & 37th St,0,Macdonald Ave. & 37th St,Macdonald Ave. & 37th St,37.9338622,-122.3341294,Macdonald Ave. & 37th St,13,MD37,MACD37TH,,MACD 37TH,Richmond,Macdonald Ave. & 37th St,,,,,,,,
EBBA-A,El Cerrito,El Cerrito Plaza BART,21,El Cerrito Plaza BART,0,El Cerrito Plaza BART,El Cerrito Plaza BART,37.9024621,-122.2987851,El Cerrito Plaza BART,05,EBBA-A,ELCEBART,EBBA,ELCE BART,El Cerrito,El Cerrito Plaza BART,EBBA-A,,El Cerrito Plaza BART,,,,,
EBBA-D,El Cerrito,El Cerrito Plaza BART,21,El Cerrito Plaza BART,0,El Cerrito Plaza BART,El Cerrito Plaza BART,37.9024621,-122.2987851,El Cerrito Plaza BART,05,EBBA-D,ELCEBART,EBBA,ELCE BART,El Cerrito,El Cerrito Plaza BART,EBBA-D,,El Cerrito Plaza BART,,,,,
DBBA-A,El Cerrito,El Cerrito del Norte BART,25,El Cerrito del Norte BART,0,El Cerrito del Norte BART,El Cerrito del Norte BART,37.9251810,-122.3168181,El Cerrito Del Norte BART,05,DBBA-A,DELNBART,,DELN BART,El Cerrito,El Cerrito Del Norte BART,DBBA-A,,El Cerrito del Norte BART,,,,,
DBBA-D,El Cerrito,El Cerrito del Norte BART,25,El Cerrito del Norte BART,0,El Cerrito del Norte BART,El Cerrito del Norte BART,37.9251810,-122.3168181,El Cerrito Del Norte BART,05,DBBA-D,DELNBART,,DELN BART,El Cerrito,El Cerrito Del Norte BART,DBBA-D,,El Cerrito del Norte BART,,,,,
GENR OFFI,Oakland,Franklin St. & 15th St.,23,Downtown Oakland,1,Franklin St. & 15th St.,Downtown Oakland,37.8050479,-122.2691409,Franklin St. & 15th St.,10,ACGO,GENROFFI,,GENR OFFI,Oakland,Franklin St. & 15th St.,,,Franklin St. & 15th St.,Downtown Oakland,,,,
4SSP-D,Emeryville,40th St. & San Pablo Ave.,25,40th St. & San Pablo Ave.,0,40th St. & San Pablo Ave.,40th St. & San Pablo Ave.,37.8310753,-122.2790390,40th St. & San Pablo Ave.,06,4SSP-D,40THS.P.,4SSP,40TH S.P.,Emeryville,40th St. & San Pablo Ave.,4SSP-D,,,,,,,
MCCL HIGH,Oakland,Mcclymonds  High School,23,Mcclymonds  High School,0,Mcclymonds  High School,Mcclymonds  High School,37.8190703,-122.2769928,Mcclymonds  High School,10,MCHS,MCCLHIGH,,MCCL HIGH,Oakland,Mcclymonds  High School,,,,,,,,
FOOT 2ND,Oakland,Foothill Blvd. & 2nd Ave.,25,Foothill Blvd. & 2nd Ave.,0,Foothill Blvd. & 2nd Ave.,Foothill Blvd. & 2nd Ave.,37.7992816,-122.2542816,Foothill Blvd. & 2nd Ave.,10,FT2N,FOOT 2ND,,FOOT 2ND,Oakland,Foothill Blvd. & 2nd Ave.,,,Foothill Blvd. & 2nd Ave.,,,,,
MBLS-A,Oakland,Mandana Blvd. & Lakeshore Ave.,30,Mandana Blvd. & Lakeshore Ave.,0,Mandana Blvd. & Lakeshore Ave.,Mandana Blvd. & Lakeshore Ave.,37.8114085,-122.2424598,Mandana Blvd. & Lakeshore Ave.,10,MBLS-A,MANDLKSH,MBLS,MAND LKSH,Oakland,Mandana Blvd. & Lakeshore Ave.,MBLS-A,,,,,,,
MBLS-D,Oakland,Mandana Blvd. & Lakeshore Ave.,30,Mandana Blvd. & Lakeshore Ave.,0,Mandana Blvd. & Lakeshore Ave.,Mandana Blvd. & Lakeshore Ave.,37.8115180,-122.2422617,Mandana Blvd. & Lakeshore Ave.,10,MBLS-D,MANDLKSH,MBLS,MAND LKSH,Oakland,Mandana Blvd. & Lakeshore Ave.,MBLS-D,,,,,,,
CSSH-A,Berkeley,Center St. & Shattuck Ave.,26,Center St. & Shattuck Ave.,0,Center St. & Shattuck Ave.,Center St. & Shattuck Ave.,37.8705266,-122.2678653,Center St. & Shattuck Ave.,03,CSSH-A,CNTRSHAT,CSSH,CNTR SHAT,Berkeley,Center St. & Shattuck Ave.,CSSH-A,,,,,,,
CSSH-D,Berkeley,Center St. & Shattuck Ave.,26,Center St. & Shattuck Ave.,0,Center St. & Shattuck Ave.,Center St. & Shattuck Ave.,37.8705266,-122.2678653,Center St. & Shattuck Ave.,03,CSSH-D,CNTRSHAT,CSSH,CNTR SHAT,Berkeley,Center St. & Shattuck Ave.,CSSH-D,,,,,,,
ROBA-A,Oakland,Rockridge BART,14,Rockridge BART,0,Rockridge BART,Rockridge BART,37.8444965,-122.2517504,Rockridge BART,10,ROBA-A,ROCKBART,ROBA,ROCK BART,Oakland,Rockridge BART,ROBA-A,,Rockridge BART,,,,,
ROBA-D,Oakland,Rockridge BART,14,Rockridge BART,2,Rockridge BART,Rockridge BART,37.8445417,-122.2519663,Rockridge BART,10,ROBA-D,ROCKBART,ROBA,ROCK BART,Oakland,Rockridge BART,ROBA-D,,Rockridge BART,,,,,
BNTE-A,Berkeley,Bancroft Way & Telegraph Ave.,29,Bancroft Way & Telegraph Ave.,0,Bancroft Way & Telegraph Ave.,Bancroft Way & Telegraph Ave.,37.8686398,-122.2602285,Bancroft Way & Telegraph Ave.,03,BNTE-A,BANCTELE,BNTE,BANC TELE,Berkeley,Bancroft Way & Telegraph Ave.,BNTE-A,,,,,,,
BNTE-D,Berkeley,Bancroft Way & Telegraph Ave.,29,Bancroft Way & Telegraph Ave.,0,Bancroft Way & Telegraph Ave.,Bancroft Way & Telegraph Ave.,37.8686398,-122.2602285,Bancroft Way & Telegraph Ave.,03,BNTE-D,BANCTELE,BNTE,BANC TELE,Berkeley,Bancroft Way & Telegraph Ave.,BNTE-D,,,,,,,
HIWY-A,Piedmont,Highland Ave. & Highland Way,28,Highland Ave. & Highland Way,0,Highland Ave. & Highland Way,Highland Ave. & Highland Way,37.8249714,-122.2321271,Highland Ave. & Highland Way,11,HIWY-A,HIGHLAND,HIWY,HIGH LAND,Piedmont,Highland Ave. & Highland Way,HIWY-A,,,,,,,
HIWY-D,Piedmont,Highland Ave. & Highland Way,28,Highland Ave. & Highland Way,0,Highland Ave. & Highland Way,Highland Ave. & Highland Way,37.8249714,-122.2321271,Highland Ave. & Highland Way,11,HIWY-D,HIGHLAND,HIWY,HIGH LAND,Piedmont,Highland Ave. & Highland Way,HIWY-D,,,,,,,
FVMA-A,Oakland,Fruitvale Ave. & MacArthur Blvd,31,Fruitvale Ave. & MacArthur Blvd,0,Fruitvale Ave. & MacArthur Blvd,Fruitvale Ave. & MacArthur Blvd,37.8001827,-122.2162578,Fruitvale Ave. & MacArthur Blvd.,10,FVMA-A,FTVLMACA,FVMA,FTVL MACA,Oakland,Fruitvale Ave. & MacArthur Blvd.,FVMA-A,,Fruitvale Ave. & MacArthur Blvd,,,,,
FVMA-D,Oakland,Fruitvale Ave. & MacArthur Blvd,31,Fruitvale Ave. & MacArthur Blvd,0,Fruitvale Ave. & MacArthur Blvd,Fruitvale Ave. & MacArthur Blvd,37.8001827,-122.2162578,Fruitvale Ave. & MacArthur Blvd.,10,FVMA-D,FTVLMACA,FVMA,FTVL MACA,Oakland,Fruitvale Ave. & MacArthur Blvd.,FVMA-D,,Fruitvale Ave. & MacArthur Blvd,,,,,
MOME-A,Oakland,Moraga Ave. & Medau Pl.,23,Moraga Ave. & Medau Pl.,0,Moraga Ave. & Medau Pl.,Moraga Ave. & Medau Pl.,37.8268952,-122.2110460,Moraga Ave. & Medau Pl.,10,MOME-A,MORGMEDU,MOME,MORG MEDU,Oakland,Moraga Ave. & Medau Pl.,MOME-A,,,,,,,
MOME-D,Oakland,Moraga Ave. & Medau Pl.,23,Moraga Ave. & Medau Pl.,0,Moraga Ave. & Medau Pl.,Moraga Ave. & Medau Pl.,37.8268952,-122.2110460,Moraga Ave. & Medau Pl.,10,MOME-D,MORGMEDU,MOME,MORG MEDU,Oakland,Moraga Ave. & Medau Pl.,MOME-D,,,,,,,
MOUN THOR,Oakland,Mountain Blvd. & Thornhill Dr.,30,Mountain Blvd. & Thornhill Dr.,0,Mountain Blvd. & Thornhill Dr.,Mountain Blvd. & Thornhill Dr.,37.8327978,-122.2145050,Mountain Blvd. & Thornhill Dr.,10,MTTH,MOUNTHOR,,MOUN THOR,Oakland,Mountain Blvd. & Thornhill Dr.,,,Mountain Blvd. & Thornhill Dr.,,,,,
MORA MEDA,Oakland,Moraga Ave. & Medau Pl.,23,Montclair,0,Moraga Ave. & Medau Pl.,Montclair,37.8268238,-122.2110807,Moraga Ave. & Medau Pl.,10,OAKL,MORAMEDA,,MORA MEDA,Oakland,Moraga Ave. & Medau Pl.,,,Moraga Ave. & Medau Pl.,Montclair,,,,
SNAK EAST,Oakland,Snake Road & Colton Blvd.,25,Snake Road & Colton Blvd.,2,Snake Road & Colton Blvd.,Snake Road & Colton Blvd.,37.8327048,-122.2074513,Snake Road & Colton Blvd.,10,SNCO-1,SNAKEAST,SNCO,SNAK EAST,Oakland,Snake Road & Colton Blvd.,,,Snake Road & Colton Blvd.,,,,,
SNAK WEST,Oakland,Snake Road & Colton Blvd.,25,Snake Road & Colton Blvd.,2,Snake Road & Colton Blvd.,Snake Road & Colton Blvd.,37.8326584,-122.2075198,Snake Road & Colton Blvd.,10,SNCO-2,SNAKWEST,SNCO,SNAK WEST,Oakland,Snake Road & Colton Blvd.,,,Snake Road & Colton Blvd.,,,,,
HRSH-A,Berkeley,Hearst Ave. & Shattuck Ave.,27,Hearst Ave. & Shattuck Ave.,0,Hearst Ave. & Shattuck Ave.,Hearst Ave. & Shattuck Ave.,37.8738394,-122.2681642,Hearst Ave. & Shattuck Ave.,03,HRSH-A,HRSTSHAT,HRSH,HRST SHAT,Berkeley,Hearst Ave. & Shattuck Ave.,HRSH-A,,,,,,,
HRSH-D,Berkeley,Hearst Ave. & Shattuck Ave.,27,Hearst Ave. & Shattuck Ave.,0,Hearst Ave. & Shattuck Ave.,Hearst Ave. & Shattuck Ave.,37.8738394,-122.2681642,Hearst Ave. & Shattuck Ave.,03,HRSH-D,HRSTSHAT,HRSH,HRST SHAT,Berkeley,Hearst Ave. & Shattuck Ave.,HRSH-D,,,,,,,
CCCO-A,San Pablo,Contra Costa College,20,Contra Costa College,0,Contra Costa College,Contra Costa College,37.9710066,-122.3401432,Contra Costa College,16,CCCO-A,CCJRCOLL,CCCO,CCJR COLL,San Pablo,Contra Costa College,CCCO-A,,,,,,,
ELPO VERD,Contra Costa County,El Portal & Via Verde,21,El Portal & Via Verde,0,El Portal & Via Verde,El Portal & Via Verde,37.9657590,-122.3202349,El Portal Dr. & Via Verdi,99,ELVV,ELPOVERD,,ELPO VERD,Contra Costa County,El Portal Dr. & via Verdi,,,El Portal & Via Verde,,,,,
HPNR-D,Richmond,Hilltop Park and Ride,21,Hilltop Park and Ride,0,Hilltop Park and Ride,Hilltop Park and Ride,37.9761184,-122.3171972,Hilltop Park and Ride,13,HPNR-D,HILLPNPR,HPNR,HILL PNPR,Richmond,Hilltop Park and Ride,HPNR-D,,Hilltop Park and Ride,,,,,
DESR-A,Richmond,De Anza High School,19,De Anza High School,0,De Anza High School,De Anza High School,37.9707417,-122.2876213,De Anza High School,13,DESR-A,DEANSRHS,,DEAN SRHS,Richmond,De Anza High School,DESR-A,,,,,,,
TAPI-A,Pinole,Pinole Vista Shopping Center,28,Pinole Vista Shopping Center,0,Pinole Vista Shopping Center,Pinole Vista Shopping Center,37.9883355,-122.3107043,Pinole Vista Shopping Center,12,TAPI-A,TARGPINO,TAPI,TARG PINO,Pinole,Pinole Vista Shopping Center,TAPI-A,,,,,,,
TAPI-D,Pinole,Pinole Vista Shopping Center,28,Pinole Vista Shopping Center,0,Pinole Vista Shopping Center,Pinole Vista Shopping Center,37.9883355,-122.3107043,Pinole Vista Shopping Center,12,TAPI-D,TARGPINO,TAPI,TARG PINO,Pinole,Pinole Vista Shopping Center,TAPI-D,,,,,,,
KAIS ARDE,Fremont,Kaiser Dr. & Ardenwood Blvd.,28,Kaiser Dr. & Ardenwood Blvd.,0,Kaiser Dr. & Ardenwood Blvd.,Kaiser Dr. & Ardenwood Blvd.,37.5530488,-122.0601374,Kaiser Dr. & Ardenwood Blvd.,07,KARD,KAISARDE,,KAIS ARDE,Fremont,Kaiser Dr. & Ardenwood Blvd.,,,,,,,,
CHCO-A,Hayward,Chabot College,14,Chabot College,0,Chabot College,Chabot College,37.6439369,-122.1050838,Chabot College,08,CHCO-A,CHABCOLL,CHCO,CHAB COLL,Hayward,Chabot College,CHCO-A,,,,,,,
CHCO-D,Hayward,Chabot College,14,Chabot College,0,Chabot College,Chabot College,37.6439369,-122.1050838,Chabot College,08,CHCO-D,CHABCOLL,CHCO,CHAB COLL,Hayward,Chabot College,CHCO-D,,,,,,,
HESP CALA,Hayward,Hesperian Blvd. & Calaroga Dr.,30,Hesperian Blvd. & Calaroga Dr.,0,Hesperian Blvd. & Calaroga Dr.,Hesperian Blvd. & Calaroga Dr.,37.6211589,-122.0884281,Hesperian Blvd. & Calaroga Dr.,08,CAHE,HESPCALA,,HESP CALA,Hayward,Hesperian Blvd. & Calaroga Dr.,,,Hesperian Blvd. & Calaroga Dr.,,,Hesperian and Calaroga don't touch! should this be Catalpa?,,
SHBA-A,Hayward,South Hayward BART,18,South Hayward BART,0,South Hayward BART,South Hayward BART,37.6346012,-122.0567032,South Hayward BART,08,SHBA-A,SHAYBART,SHBA,SHAY BART,Hayward,South Hayward BART,SHBA-A,,,,,,,
SHBA-D,Hayward,South Hayward BART,18,South Hayward BART,0,South Hayward BART,South Hayward BART,37.6346012,-122.0567032,South Hayward BART,08,SHBA-D,SHAYBART,SHBA,SHAY BART,Hayward,South Hayward BART,SHBA-D,,,,,,,
MARI COMM,San Leandro,Marina Community Center,23,Marina Community Center,0,"Marina Community Center, San Leandro","Marina Community Center, San Leandro",37.6852488,-122.1621235,Marina Community Center,15,MACC,MARICOMM,,MARI COMM,San Leandro,Marina Community Center,,,,,,,1,
BSO D6GA,Hayward,Begin Superv. Order Near D6,27,Begin Superv. Order Near D6,0,Begin Superv. Order Near D6,Begin Superv. Order Near D6,37.6542200,-122.1315200,Begin Superv. Order Near D6,08,BSoD6,BSO D6GA,D6,BSO D6GA,Hayward,Begin Superv. Order Near D6,,,,,,,,
D6,Hayward,AC Transit Hayward Division,27,AC Transit Hayward Division,2,AC Transit Hayward Division,AC Transit Hayward Division,37.6549027,-122.1316367,AC Transit Hayward Division,08,D6,D6,,D6,Hayward,AC Transit Hayward Division,,,AC Transit Hayward Division,,,,,
ENSO D6GA,Hayward,End Superv. Order Near D6,25,End Superv. Order Near D6,0,End Superv. Order Near D6,End Superv. Order Near D6,37.6549075,-122.1303380,End Superv. Order Near D6,08,ESoD6,ENSOD6GA,,ENSO D6GA,Hayward,End Superv. Order Near D6,,,,,,,,
BYBA-A,San Leandro,Bay Fair BART,13,Bay Fair BART,0,Bay Fair BART,Bay Fair BART,37.6966210,-122.1255825,Bay Fair BART,15,BYBA-A,BAYFBART,BYBA,BAYF BART,San Leandro,Bay Fair BART,BYBA-A,,,,,,,
BYBA-D,San Leandro,Bay Fair BART,13,Bay Fair BART,0,Bay Fair BART,Bay Fair BART,37.6966210,-122.1255825,Bay Fair BART,15,BYBA-D,BAYFBART,BYBA,BAYF BART,San Leandro,Bay Fair BART,BYBA-D,,,,,,,
ENSO,San Leandro,End Supervisors Orders,22,End Supervisors Orders,2,End Supervisors Orders,End Supervisors Orders,37.7151368,-122.1340479,End Supervisors Orders,15,ENSO,END S.O.,,END S.O.,San Leandro,End Supervisors Orders,ENSO,,,,,,,
CBBA-A,Oakland,Coliseum BART,13,Coliseum BART,0,Coliseum BART,Coliseum BART,37.7535167,-122.1970105,Coliseum BART,10,CBBA-A,COLIBART,CBBA,COLI BART,Oakland,Coliseum BART,CBBA-A,,,,,,,
CBBA-D,Oakland,Coliseum BART,13,Coliseum BART,0,Coliseum BART,Coliseum BART,37.7535167,-122.1970105,Coliseum BART,10,CBBA-D,COLIBART,CBBA,COLI BART,Oakland,Coliseum BART,CBBA-D,,,,,,,
85TH INTN,Oakland,85th Ave. & International Blvd.,31,85th Ave. & International Blvd.,0,85th Ave. & International Blvd.,85th Ave. & International Blvd.,37.7532006,-122.1774368,85th Ave. & International Blvd.,10,85IN,85THINTN,,85TH INTN,Oakland,85th Ave. & International Blvd.,,,,,,,,
BESO,Oakland,Beginning of supervisors' orders,32,Beginning of supervisors' orders,2,Beginning of supervisors' orders,Beginning of supervisors' orders,37.7413577,-122.1716315,Begin Supervisors Orders,10,BESO,BEG.S.O.,,BEG. S.O.,Oakland,Begin Supervisors Orders,BESO,,Beginning of supervisors' orders,,,,,
90MA-A,Oakland,90th Ave. & MacArthur Blvd.,27,90th Ave. & MacArthur Blvd.,0,90th Ave. & MacArthur Blvd.,90th Ave. & MacArthur Blvd.,37.7548224,-122.1630988,90th Ave. & MacArthur Blvd.,10,90MA-A,90THMACA,90MA,90TH MACA,Oakland,90th Ave. & MacArthur Blvd.,90MA-A,,,,,,,
90MA-D,Oakland,90th Ave. & MacArthur Blvd.,27,90th Ave. & MacArthur Blvd.,0,90th Ave. & MacArthur Blvd.,90th Ave. & MacArthur Blvd.,37.7548224,-122.1630988,90th Ave. & MacArthur Blvd.,10,90MA-D,90THMACA,90MA,90TH MACA,Oakland,90th Ave. & MacArthur Blvd.,90MA-D,,,,,,,
MMIL,Oakland,Millsview Ave. & MacArthur Blvd.,32,Millsview Ave. & MacArthur Blvd.,0,Millsview Ave. & MacArthur Blvd.,Millsview Ave. & MacArthur Blvd.,37.7783318,-122.1888119,Millsview Ave. & MacArthur Blvd.,10,MMIL,MACAMILL,,MACA MILL,Oakland,Millsview Ave. & MacArthur Blvd.,MMIL,,Millsview Ave. & MacArthur Blvd.,,,,,
SMSE-A,Oakland,Seminary Ave. & MacArthur Blvd.,31,Seminary Ave. & MacArthur Blvd.,0,Seminary Ave. & MacArthur Blvd.,Seminary Ave. & MacArthur Blvd.,37.7764226,-122.1839305,Seminary Ave. & MacArthur Blvd.,10,SMSE-A,SEMIMACA,SMSE,SEMI MACA,Oakland,Seminary Ave. & MacArthur Blvd.,SMSE-A,,,,,,,
SMSE-D,Oakland,Seminary Ave. & MacArthur Blvd.,31,Seminary Ave. & MacArthur Blvd.,0,Seminary Ave. & MacArthur Blvd.,Seminary Ave. & MacArthur Blvd.,37.7764226,-122.1839305,Seminary Ave. & MacArthur Blvd.,10,SMSE-D,SEMIMACA,SMSE,SEMI MACA,Oakland,Seminary Ave. & MacArthur Blvd.,SMSE-D,,,,,,,
